Country Name,Country Code,Year,"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Services (% of females),Services (% of males),,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)"
Brazil,BRA,2017,3.052000046,5.410999775,4.888999939,14.23400021,84.29799652,57.69300079,,45.04399872,65.91799927,31.35099983,45.17599869,0,0,15.33600044,11.80300045
Brazil,,2016,3.019999981,5.394000053,4.756000042,14.10700035,84.48200226,57.70999908,,46.13999939,67.29199982,32.99499893,46.84700012,84.95532,73.01576,13.46899986,10.21199989
Brazil,,2007,2.523000002,4.945000172,13.75599957,21.51600075,73.13500214,50.15399933,,49.58300018,73.8690033,41.30099869,61.15599823,82.47951,68.80202,10.85299969,6.032000065
Brazil,,2006,2.990999937,5.873000145,14.875,22.55800056,72.20700073,50.03300095,,49.77199936,74.05400085,40.76200104,61.05199814,82.0281,68.20627,11.06999969,6.394000053
China,CHN,2017,1.666000009,4.686999798,20.49699974,15.17700005,57.87200165,54.30599976,,58.88299942,72.25099945,40.94800186,42.05500031,0,0,4.236999989,5.013999939
China,,2016,1.664000034,4.684000015,21.4489994,15.92700005,56.5379982,53.52700043,,59.47100067,72.53500366,41.56399918,42.70600128,87.75146,83.54098,4.131000042,5.051000118
China,,2007,1.167000055,4.012000084,35.00099945,28.22400093,35.77099991,41.23899841,,63.29499817,75.6230011,51.63299942,53.88999939,85.64855,81.18248,3.312999964,4.116000175
India,IND,2017,0.521000028,1.871999979,56.35699844,38.34600067,25.94300079,35.90399933,,26.07699966,76.22299957,13.94499969,43.11000061,0,0,4.157999992,3.316999912
India,,2016,0.519999981,1.868999958,56.91600037,39.06700134,25.38400078,35.25699997,,26.30599976,76.28800201,14.17399979,43.40399933,74.70808,66.78332,4.159999847,3.290999889
India,,2007,0.470999986,1.375,68.64399719,48.00400162,16.21699905,29.29700089,,31.74699974,78.9469986,21.62700081,54.93399811,68.98805,63.07255,4.763000011,3.789999962
India,,2006,0.419,1.268000007,69.45400238,48.8409996,15.91800022,29.31399918,,33.31999969,79.28700256,23.3010006,56.75099945,68.35682,62.45661,4.886000156,3.976999998
South Africa,ZAF,2017,2.561000109,7.589000225,3.848999977,6.855000019,84.11499786,61.11500168,,33.73099899,46.16899872,9.574000359,14.58899975,0,0,29.50300026,25.5510006
South Africa,,2016,2.65199995,7.760000229,3.895999908,6.881000042,84.17099762,61.03300095,,33.93099976,46.8030014,9.545000076,14.93900013,63.42878,47.35035,28.99500084,24.55400085
South Africa,,2007,4.686999798,8.501000404,6.401000023,10.54899979,80.16999817,54.44300079,,34.00600052,50.85100174,12.82199955,19.66500092,43.49552,30.85672,26.63800049,18.95000076
South Africa,,2006,4.945000172,9.079999924,7.732999802,9.076999664,78.72799683,56.69800186,,33.4679985,50.52500153,12.72999954,19.17099953,44.07943,31.28537,27.45400047,18.81299973
Russian Federation,RUS,2017,0.870999992,1.74000001,5.007999897,8.312000275,78.89900208,54.54000092,,53.7820015,67.96600342,26.09799957,33.60100174,0,0,5.046000004,5.346000195
Russian Federation,,2016,0.850000024,1.712000012,5.026000023,8.326000214,78.8690033,54.41999817,,53.88499832,67.98600006,27.05999947,34.78699875,82.49152,57.20283,5.31400013,5.748000145
Russian Federation,,2007,1.103999972,1.690000057,6.948999882,11.00300026,72.86699677,50.9640007,,53.51599884,65.00900269,31.18600082,37.10300064,77.8101,47.1358,5.756000042,6.434999943
Russian Federation,,2006,0.910000026,1.546000004,7.769999981,12.14799976,71.55999756,49.97700119,,52.39099884,63.27299881,30.01000023,36.22200012,77.25772,46.02353,6.815999985,7.495999813
