Country Name,Country Code,Year,"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)",Agriculture (% of females),Agriculture (% of males),Agri_Ratio,"Employment in industry, male (% of male employment) (modeled ILO estimate)",Services (% of females),Services (% of males),Gender,Ratio IT,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",ratio 2,"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force) ",unemployDiff
Brazil,BRA,2017,3.052000046,5.410999775,4.888999939,14.23400021,0.343473364,28.07299995,84.29799652,57.69300079,Female,1.461147719,45.04399872,65.91799927,31.35099983,45.17599869,-13.82499886,15.33600044,11.80300045,3.532999992
Brazil,BRA,2016,3.019999981,5.394000053,4.756000042,14.10700035,0.337137586,28.18199921,84.48200226,57.70999908,Female,1.463905798,46.13999939,67.29199982,32.99499893,46.84700012,-13.85200119,13.46899986,10.21199989,3.256999969
Brazil,BRA,2015,2.934000015,5.486000061,5.051000118,14,0.360785723,29.76399994,83.29499817,56.23500061,Female,1.481194937,48.00500107,69.97399902,35.8429985,51.72700119,-15.88400269,10.06499958,7.224999905,2.839999676
Brazil,BRA,2014,2.773000002,5.143000126,5.209000111,14.07600021,0.37006252,30.73399925,82.85099792,55.18999863,Female,1.501195869,48.56700134,71.42099762,38.05199814,54.2159996,-16.16400146,8.118000031,5.602000237,2.515999794
Brazil,BRA,2013,2.779999971,5.127999783,5.665999889,15.12899971,0.374512525,30.5510006,82.11699677,54.31900024,Female,1.511754568,48.32300186,71.78800201,38.35400009,55.44200134,-17.08800125,8.784000397,5.671999931,3.112000465
Brazil,BRA,2012,2.605000019,5.021999836,5.899000168,15.46399975,0.381466649,30.37899971,81.47799683,54.15599823,Female,1.504505493,48.26800156,71.80799866,39.04899979,56.59400177,-17.54500198,9.059000015,5.816999912,3.242000103
Brazil,BRA,2011,2.411999941,4.367000103,11.07400036,18.96699905,0.583856219,28.79700089,77.24700165,52.23600006,Female,1.478807749,48.27099991,73.03199768,39.40399933,57.8370018,-18.43300247,9.149000168,4.895999908,4.253000259
Brazil,BRA,2010,2.388999939,4.18599987,11.23999977,19.27499962,0.58313878,29.0890007,76.14299774,51.63600159,Female,1.474610648,49.19900131,73.56199646,40.15800095,58.82500076,-18.66699982,9.861000061,5.328999996,4.532000065
Brazil,BRA,2009,2.825999975,5.714000225,12.07800007,20.48699951,0.589544607,28.63599968,74.87200165,50.87599945,Female,1.471656625,49.80400085,73.72499847,40.1969986,59.67300034,-19.47600174,11.0880003,6.171000004,4.917000294
Brazil,BRA,2008,3.118000031,5.834000111,13.00300026,20.60899925,0.630937975,29.1989994,73.58799744,50.19100189,Female,1.466159165,50.09999847,74.15599823,41.77299881,60.88299942,-19.11000061,10.25500011,5.659999847,4.595000267
